Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
231804,The Outsiders,S.E. Hinton,"Hinton, S.E.",,"=""0670532576""","=""9780670532575""",0,4.14,Puffin Books (US/CAN),Mass Market Paperback,208,1997,1967,2025/01/09,2025/01/07,,,read,,,,1,0
104790,All's Well That Ends Well,William Shakespeare,"Shakespeare, William","Barbara A. Mowat, Paul Werstine","=""0743484975""","=""9780743484978""",3,3.60,Simon & Schuster,Mass Market Paperback,282,2006,1604,2025/01/07,2025/01/07,,,read,,,,1,0
36402034,Do Androids Dream of Electric Sheep?,Philip K. Dick,"Dick, Philip K.",,"=""""","=""""",4,4.09,Ballantine Books,ebook,258,2008,1968,2025/01/07,2024/12/30,,,read,,,,1,0
192723639,You Are Here: Poetry in the Natural World,Ada Limon,"Limon, Ada",,"=""1571315683""","=""9781571315687""",0,4.00,Milkweed Editions,Hardcover,176,2024,2024,,2025/01/05,to-read,to-read (#38),to-read,,,,0,0
62049693,Up to Speed: The Groundbreaking Science of Women Athletes,Christine Yu,"Yu, Christine",,"=""0593332393""","=""9780593332399""",0,4.28,Riverhead Books,Hardcover,336,2023,,,2025/01/05,to-read,to-read (#37),to-read,,,,0,0
52767659,The End of Everything (Astrophysically Speaking),Katie  Mack,"Mack, Katie",,"=""198210354X""","=""9781982103545""",0,4.26,Scribner,Hardcover,226,2020,2020,,2025/01/05,to-read,to-read (#36),to-read,,,,0,0
168668,Catch-22,Joseph Heller,"Heller, Joseph",,"=""0684833395""","=""9780684833392""",0,3.99,Simon & Schuster ,Paperback,453,2004,1961,,2025/01/05,to-read,to-read (#35),to-read,,,,0,0
12996,Othello,William Shakespeare,"Shakespeare, William","Barbara A. Mowat, Paul Werstine","=""""","=""""",0,3.89,Simon & Schuster,Mass Market Paperback,319,2003,1603,2024/12/30,2024/12/30,,,read,,,,1,0
29780253,Born a Crime: Stories From a South African Childhood,Trevor Noah,"Noah, Trevor",,"=""0385689225""","=""9780385689229""",0,4.49,Doubleday Canada,Hardcover,289,2016,2016,,2024/12/29,to-read,to-read (#34),to-read,,,,0,0
43913694,Macbeth,William Shakespeare,"Shakespeare, William","Carmen Kahn, Jack Armstrong","=""0998809101""","=""9780998809106""",4,3.89,Shakespeare Moment by Moment,Paperback,214,2016,1623,2024/12/29,2024/12/21,,,read,,,,1,0
17465709,"Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge, and the Teachings of Plants",Robin Wall Kimmerer,"Kimmerer, Robin Wall",,"=""1571313354""","=""9781571313355""",4,4.52,Milkweed Editions,Hardcover,408,2013,2013,2024/12/29,2024/02/04,,,read,,,,1,0
55145261,The Anthropocene Reviewed: Essays on a Human-Centered Planet,John Green,"Green, John",,"=""0525555218""","=""9780525555216""",5,4.36,Dutton,Hardcover,304,2021,2021,2024/01/04,2023/12/28,,,read,,,,1,0
22343242,"Dawn (Lilith's Brood, #1)",Octavia E. Butler,"Butler, Octavia E.",,"=""""","=""""",4,4.15,Headline,ebook,262,2014,1987,2024/12/26,2022/02/02,,,read,,,,1,0
5326,A Christmas Carol,Charles Dickens,"Dickens, Charles",Joe L. Wheeler,"=""1561797464""","=""9781561797462""",5,4.09,Bethany House Publishers ,Paperback,184,1999,1843,2024/12/25,2024/12/24,,,read,,,,1,0
48840243,Twelth Night,William Shakespeare,"Shakespeare, William",,"=""""","=""""",3,3.96,,Kindle Edition,120,2019,1623,2024/12/19,2024/12/19,,,read,,,,1,0
24128,The Merchant of Venice,William Shakespeare,"Shakespeare, William","Barbara A. Mowat, Paul Werstine, David Scott Kastan, Felix Emmanuel Schelling, محمد عناني, David Bevington, Robert          Jackson","=""0743477561""","=""9780743477567""",4,3.78,Simon & Schuster,Mass Market Paperback,249,2011,1596,2024/12/13,2024/12/13,,,read,,,,1,0
12067,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,"Pratchett, Terry",Neil Gaiman,"=""""","=""""",3,4.25,William Morrow Paperbacks,Mass Market Paperback,491,2006,1990,2024/12/13,2023/12/16,,,read,,,,1,0
